song_id,theme,semantic_focus,macro_domain,theme_scope,mapping_state
0054,Moon & Galaxy,Moon & Galaxy,Space & Astronomy,guided,PROPOSED
0055,Space Science,Space Science,Space & Astronomy,guided,PROPOSED
0056,Dinosaur World,Dinosaur World,Dinosaurs & Fossils,guided,PROPOSED
0057,Fossils & Bones,Fossils & Bones,Dinosaurs & Fossils,guided,PROPOSED
0058,Prehistoric Life,Prehistoric Life,Dinosaurs & Fossils,guided,PROPOSED
0059,Dinosaur Explorer,Dinosaur Explorer,Dinosaurs & Fossils,guided,PROPOSED
0060,Museum of Dinosaurs,Museum of Dinosaurs,Dinosaurs & Fossils,guided,PROPOSED
0061,Bug World,Bug World,Insects & Bugs,guided,PROPOSED
0062,Butterflies & Beetles,Butterflies & Beetles,Insects & Bugs,guided,PROPOSED
0063,Garden Insects,Garden Insects,Insects & Bugs,guided,PROPOSED
0064,Tiny Creatures,Tiny Creatures,Insects & Bugs,guided,PROPOSED
0065,Insect Explorer,Insect Explorer,Insects & Bugs,guided,PROPOSED
0066,Bird World,Bird World,Birds,guided,PROPOSED
0067,Feathers & Nests,Feathers & Nests,Birds,guided,PROPOSED
0068,Backyard Birds,Backyard Birds,Birds,guided,PROPOSED
0069,Water & Land Birds,Water & Land Birds,Birds,guided,PROPOSED
0070,Birdwatching,Birdwatching,Birds,guided,PROPOSED
0071,Pet Care,Pet Care,Pets,guided,PROPOSED
0072,Home Pets,Home Pets,Pets,guided,PROPOSED
0073,Pet Playtime,Pet Playtime,Pets,guided,PROPOSED
0074,Small Animal Friends,Small Animal Friends,Pets,guided,PROPOSED
0075,Pet Shop Day,Pet Shop Day,Pets,guided,PROPOSED
0076,Zoo Animals,Zoo Animals,Zoo & Safari,guided,PROPOSED
0077,Safari Wildlife,Safari Wildlife,Zoo & Safari,guided,PROPOSED
0078,Animal Habitats,Animal Habitats,Zoo & Safari,guided,PROPOSED
0079,Wild Animal World,Wild Animal World,Zoo & Safari,guided,PROPOSED
0080,Zoo Explorer,Zoo Explorer,Zoo & Safari,guided,PROPOSED
0081,Reptile & Amphibian World,Reptile & Amphibian World,Reptiles & Amphibians,guided,PROPOSED
0082,Frogs Snakes & Turtles,Frogs Snakes & Turtles,Reptiles & Amphibians,guided,PROPOSED
0083,Scales & Slime,Scales & Slime,Reptiles & Amphibians,guided,PROPOSED
0084,Cold-Blooded Creatures,Cold-Blooded Creatures,Reptiles & Amphibians,guided,PROPOSED
0085,Reptile House,Reptile House,Reptiles & Amphibians,guided,PROPOSED
0086,Kitchen & Food,Kitchen & Food,Food & Kitchen,guided,PROPOSED
0087,Cooking Tools & Ingredients,Cooking Tools & Ingredients,Food & Kitchen,guided,PROPOSED
0088,Meals & Snacks,Meals & Snacks,Food & Kitchen,guided,PROPOSED
0089,Cooking Together,Cooking Together,Food & Kitchen,guided,PROPOSED
0090,Tasty Kitchen,Tasty Kitchen,Food & Kitchen,guided,PROPOSED
0091,Fruits & Vegetables,Fruits & Vegetables,Fruits & Vegetables,guided,PROPOSED
0092,Garden Foods,Garden Foods,Fruits & Vegetables,guided,PROPOSED
0093,Market Produce,Market Produce,Fruits & Vegetables,guided,PROPOSED
0094,Healthy Produce,Healthy Produce,Fruits & Vegetables,guided,PROPOSED
0095,Colorful Foods,Colorful Foods,Fruits & Vegetables,guided,PROPOSED
0096,Bakery Treats,Bakery Treats,Bakery & Desserts,guided,PROPOSED
0097,Bread & Pastries,Bread & Pastries,Bakery & Desserts,guided,PROPOSED
0098,Cakes & Cookies,Cakes & Cookies,Bakery & Desserts,guided,PROPOSED
0099,Sweet Shop,Sweet Shop,Bakery & Desserts,guided,PROPOSED
0100,Baking Day,Baking Day,Bakery & Desserts,guided,PROPOSED
0101,Classroom Supplies,Classroom Supplies,School & Classroom,guided,PROPOSED
0102,School Learning Tools,School Learning Tools,School & Classroom,guided,PROPOSED
0103,School Day,School Day,School & Classroom,guided,PROPOSED
0104,Classroom Learning,Classroom Learning,School & Classroom,guided,PROPOSED
0105,Classroom Activities,Classroom Activities,School & Classroom,guided,PROPOSED
0106,Art Studio,Art Studio,Art & Crafts,guided,PROPOSED
0107,Colors & Crafts,Colors & Crafts,Art & Crafts,guided,PROPOSED
0108,Drawing & Painting,Drawing & Painting,Art & Crafts,guided,PROPOSED
0109,Creative Tools,Creative Tools,Art & Crafts,guided,PROPOSED
0110,Make & Create,Make & Create,Art & Crafts,guided,PROPOSED
0111,Musical Instruments,Musical Instruments,Music & Instruments,guided,PROPOSED
0112,Rhythm & Melody,Rhythm & Melody,Music & Instruments,guided,PROPOSED
0113,Band & Orchestra,Band & Orchestra,Music & Instruments,guided,PROPOSED
0114,Music Making,Music Making,Music & Instruments,guided,PROPOSED
0115,Sounds & Instruments,Sounds & Instruments,Music & Instruments,guided,PROPOSED
0116,Toy Box,Toy Box,Toys & Games,guided,PROPOSED
0117,Playroom Fun,Playroom Fun,Toys & Games,guided,PROPOSED
0118,Games & Toys,Games & Toys,Toys & Games,guided,PROPOSED
0119,Building & Pretend Play,Building & Pretend Play,Toys & Games,guided,PROPOSED
0120,Playground Toys,Playground Toys,Toys & Games,guided,PROPOSED
0121,Sports & Games,Sports & Games,Sports & Movement,guided,PROPOSED
0122,Move & Play,Move & Play,Sports & Movement,guided,PROPOSED
0123,Balls Bikes & Gear,Balls Bikes & Gear,Sports & Movement,guided,PROPOSED
0124,Active Kids,Active Kids,Sports & Movement,guided,PROPOSED
0125,Playground Sports,Playground Sports,Sports & Movement,guided,PROPOSED
0126,Things That Go,Things That Go,Vehicles & Roads,guided,PROPOSED
0127,Cars Trucks & Machines,Cars Trucks & Machines,Vehicles & Roads,guided,PROPOSED
0128,Road Vehicles,Road Vehicles,Vehicles & Roads,guided,PROPOSED
0129,Transport World,Transport World,Vehicles & Roads,guided,PROPOSED
0130,Moving Machines,Moving Machines,Vehicles & Roads,guided,PROPOSED
0131,Train Station,Train Station,Trains & Stations,guided,PROPOSED
0132,Railway World,Railway World,Trains & Stations,guided,PROPOSED
0133,Trains & Tracks,Trains & Tracks,Trains & Stations,guided,PROPOSED
0134,Subway & Rail,Subway & Rail,Trains & Stations,guided,PROPOSED
0135,Railway Journey,Railway Journey,Trains & Stations,guided,PROPOSED
0136,Airport & Airplanes,Airport & Airplanes,Aircraft & Airport,guided,PROPOSED
0137,Flying Machines,Flying Machines,Aircraft & Airport,guided,PROPOSED
0138,Aircraft & Ground Crew,Aircraft & Ground Crew,Aircraft & Airport,guided,PROPOSED
0139,Planes & Helicopters,Planes & Helicopters,Aircraft & Airport,guided,PROPOSED
0140,Flight Day,Flight Day,Aircraft & Airport,guided,PROPOSED
0141,Boats & Harbor,Boats & Harbor,Boats & Harbor,guided,PROPOSED
0142,Sailing & Sea Travel,Sailing & Sea Travel,Boats & Harbor,guided,PROPOSED
0143,Watercraft World,Watercraft World,Boats & Harbor,guided,PROPOSED
0144,Marina & Rescue Boats,Marina & Rescue Boats,Boats & Harbor,guided,PROPOSED
0145,Boat Day,Boat Day,Boats & Harbor,guided,PROPOSED
0146,Building Site,Building Site,Construction & Tools,guided,PROPOSED
0147,Tools & Machines,Tools & Machines,Construction & Tools,guided,PROPOSED
0148,Builders at Work,Builders at Work,Construction & Tools,guided,PROPOSED
0149,Construction Gear,Construction Gear,Construction & Tools,guided,PROPOSED
0150,Build & Repair,Build & Repair,Construction & Tools,guided,PROPOSED
0151,Around Town,Around Town,City & Community,guided,PROPOSED
0152,City Places,City Places,City & Community,guided,PROPOSED
0153,Streets & Buildings,Streets & Buildings,City & Community,guided,PROPOSED
0154,Neighborhood Life,Neighborhood Life,City & Community,guided,PROPOSED
0155,Town Explorer,Town Explorer,City & Community,guided,PROPOSED
0156,Community Helpers,Community Helpers,Community Helpers,guided,PROPOSED
0157,Jobs Around Town,Jobs Around Town,Community Helpers,guided,PROPOSED
0158,People Who Help,People Who Help,Community Helpers,guided,PROPOSED
0159,Work & Service,Work & Service,Community Helpers,guided,PROPOSED
0160,Helping Hands,Helping Hands,Community Helpers,guided,PROPOSED
0161,Around the House,Around the House,Home & Rooms,guided,PROPOSED
0162,Home Rooms & Things,Home Rooms & Things,Home & Rooms,guided,PROPOSED
0163,Everyday Home,Everyday Home,Home & Rooms,guided,PROPOSED
0164,Home Helpers & Objects,Home Helpers & Objects,Home & Rooms,guided,PROPOSED
0165,Cozy House,Cozy House,Home & Rooms,guided,PROPOSED
0166,Clothes & Accessories,Clothes & Accessories,Clothes & Getting Ready,guided,PROPOSED
0167,Getting Dressed,Getting Dressed,Clothes & Getting Ready,guided,PROPOSED
0168,Shoes Hats & Coats,Shoes Hats & Coats,Clothes & Getting Ready,guided,PROPOSED
0169,Wardrobe World,Wardrobe World,Clothes & Getting Ready,guided,PROPOSED
0170,Clothes for Weather,Clothes for Weather,Clothes & Getting Ready,guided,PROPOSED
0171,My Body,My Body,Body & Senses,guided,PROPOSED
0172,Body & Senses,Body & Senses,Body & Senses,guided,PROPOSED
0173,Healthy Body,Healthy Body,Body & Senses,guided,PROPOSED
0174,Doctor & Body,Doctor & Body,Body & Senses,guided,PROPOSED
0175,Move & Feel,Move & Feel,Body & Senses,guided,PROPOSED
0176,Feelings & Faces,Feelings & Faces,Feelings & Friendship,guided,PROPOSED
0177,Friendship & Kindness,Friendship & Kindness,Feelings & Friendship,guided,PROPOSED
0178,Calm & Happy,Calm & Happy,Feelings & Friendship,guided,PROPOSED
0179,Sharing & Caring,Sharing & Caring,Feelings & Friendship,guided,PROPOSED
0180,Feelings Toolbox,Feelings Toolbox,Feelings & Friendship,guided,PROPOSED
0181,My Daily Routine,My Daily Routine,Daily Routine,guided,PROPOSED
0182,Morning & Evening,Morning & Evening,Daily Routine,guided,PROPOSED
0183,Home Routines,Home Routines,Daily Routine,guided,PROPOSED
0184,Getting Ready & Cleaning,Getting Ready & Cleaning,Daily Routine,guided,PROPOSED
0185,Family Day,Family Day,Daily Routine,guided,PROPOSED
0186,Fairy Tale World,Fairy Tale World,Fairy Tales & Magic,guided,PROPOSED
0187,Castles & Magic,Castles & Magic,Fairy Tales & Magic,guided,PROPOSED
0188,Dragons Knights & Fairies,Dragons Knights & Fairies,Fairy Tales & Magic,guided,PROPOSED
0189,Storybook Kingdom,Storybook Kingdom,Fairy Tales & Magic,guided,PROPOSED
0190,Magic Quest,Magic Quest,Fairy Tales & Magic,guided,PROPOSED
0191,Science & Robots,Science & Robots,Robots & Science,guided,PROPOSED
0192,Lab & Machines,Lab & Machines,Robots & Science,guided,PROPOSED
0193,Circuits & Gadgets,Circuits & Gadgets,Robots & Science,guided,PROPOSED
0194,Robot Builder,Robot Builder,Robots & Science,guided,PROPOSED
0195,Future Science,Future Science,Robots & Science,guided,PROPOSED
0196,Seasons of the Year,Seasons of the Year,Seasons & Celebrations,guided,PROPOSED
0197,Weather & Seasons,Weather & Seasons,Seasons & Celebrations,guided,PROPOSED
0198,Seasonal Things,Seasonal Things,Seasons & Celebrations,guided,PROPOSED
0199,Year-Round Fun,Year-Round Fun,Seasons & Celebrations,guided,PROPOSED
0200,Celebrations & Seasons,Celebrations & Seasons,Seasons & Celebrations,guided,PROPOSED
